"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-06",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-07",,,,,,,,,,,,,"3.8",",,N",,,"13.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-08",,,,,,,,,,,,,"0.0","T,,N",,,"0.0","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-09",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-12",,,,,,,,,,,,,"0.3",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-13",,,,,,,,,,,,,"7.1",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-14",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-15",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-18",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-19",,,,,,,,,,,,,"50.3",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-20",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-22",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-23",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-25",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-27",,,,,,,,,,,,,"15.0",",,N",,,"137.0",",,N",,,,,,,,,,,,,,,,,,,"15.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-29",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-01-30",,,,,,,,,,,,,"2.3",",,N",,,"18.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJES0011","CEDAR GROVE TWP 0.9 NE, NJ US","40.864825","-74.215732","101.8","2015-02-20",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-01",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-02",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-03",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-04",,,,,,,,,,,,,"23.1",",,N",,,"3.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-05",,,,,,,,,,,,,"1.3",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-06",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-07",,,,,,,,,,,,,"1.0",",,N",,,"15.0",",,N","15.0",",,N",,,,,,,,,,,,,,,"1.0",",,N","1.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-08",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-09",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-10",,,,,,,,,,,,,"0.8",",,N",,,"18.0",",,N","18.0",",,N",,,,,,,,,,,,,,,"0.8",",,N","0.8",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-11",,,,,,,,,,,,,"0.0",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NJBG0002","SADDLE BROOK TWP 0.6 E, NJ US","40.902694","-74.083358","16.8","2015-01-12",,,,,,,,,,,,,"0.5",",,N",,,,,"0.0","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
